province,region,weather_date,temperature,humidity,precipitation,wind_speed,pressure,weather_condition,source
Ha Noi,North,9/6/2025,29.1,83,0.9,12.6,1005.3,Moderate Drizzle,OpenMeteo
Ha Noi,North,9/7/2025,29.7,76,0.3,6.9,1003.7,Light Drizzle,OpenMeteo
Ha Noi,North,9/8/2025,30.5,73,0.3,14,1002.4,Light Drizzle,OpenMeteo
Ha Noi,North,9/9/2025,28.5,86,3.3,11.7,1003.8,Light Rain,OpenMeteo
Ha Noi,North,9/10/2025,28.1,88,9.9,6.9,1005.2,Moderate Rain,OpenMeteo
Ha Noi,North,9/11/2025,27.3,89,24.6,11.9,1006.2,Moderate Rain,OpenMeteo
Ha Noi,North,9/12/2025,27.1,90,9.7,16,1007.2,Moderate Rain,OpenMeteo
Ha Noi,North,9/13/2025,28.4,83,0.4,12.2,1007.6,Light Drizzle,OpenMeteo
Ha Noi,North,9/14/2025,28,84,3.3,10.2,1007.6,Moderate Rain,OpenMeteo
Ha Noi,North,9/15/2025,27.2,86,4.9,11.6,1008.1,Light Rain,OpenMeteo
Ha Noi,North,9/16/2025,27.8,82,11.4,11,1008,Moderate Rain,OpenMeteo
Ha Noi,North,9/17/2025,27,87,9.7,15.6,1006.8,Moderate Rain,OpenMeteo
Ha Noi,North,9/18/2025,26.6,89,16.3,11.1,1006.7,Moderate Rain,OpenMeteo
Ha Noi,North,9/19/2025,27.6,85,10.8,10.9,1006.3,Moderate Rain,OpenMeteo
Ha Noi,North,9/20/2025,29.5,77,0,11.7,1004.4,Overcast,OpenMeteo
Ha Noi,North,9/21/2025,28.8,82,4,11.2,1003.7,Moderate Rain,OpenMeteo
Ha Noi,North,9/22/2025,26.8,87,14.4,10.7,1005.3,Moderate Rain,OpenMeteo
Ha Noi,North,9/23/2025,27.9,80,0.8,10.9,1003.4,Light Drizzle,OpenMeteo
Ha Noi,North,9/24/2025,28.9,72,0.2,21.7,1000.5,Light Drizzle,OpenMeteo
Ha Noi,North,9/25/2025,25.9,83,17.4,21.3,1001,Moderate Rain,OpenMeteo
Ha Noi,North,9/26/2025,25.6,89,20.1,9.2,1007.9,Heavy Rain,OpenMeteo
Ha Noi,North,9/27/2025,27.1,86,12.3,12.9,1009.7,Moderate Rain,OpenMeteo
Ha Noi,North,9/28/2025,26.4,87,36.1,20.1,1006.4,Heavy Rain,OpenMeteo
Ha Noi,North,9/29/2025,24.6,94,73.9,34.4,1004,Moderate Rain,OpenMeteo
Ha Noi,North,9/30/2025,25.2,94,45.8,17.9,1007.9,Moderate Rain,OpenMeteo
Ha Noi,North,10/1/2025,26.5,89,2.3,12.5,1009.3,Moderate Drizzle,OpenMeteo
Ha Noi,North,10/2/2025,27.9,81,0.1,10.5,1009.1,Light Drizzle,OpenMeteo
Ha Noi,North,10/3/2025,27.9,80,0,12.9,1008.8,Clear Sky,OpenMeteo
Ha Noi,North,10/4/2025,27.8,86,0.1,8.9,1008.4,Light Drizzle,OpenMeteo
Ha Noi,North,10/5/2025,28.5,84,3.1,12.4,1004.3,Light Rain,OpenMeteo
Ha Noi,North,10/6/2025,25.6,90,53.3,25,1002.5,Heavy Rain,OpenMeteo
Ha Noi,North,10/7/2025,24.4,97,133,14.9,1009.3,Heavy Rain,OpenMeteo
